query_id,document_id
126,en.15.147.229.2009.10.6
126,en.3.326.80.2009.9.5
126,en.2.260.111.2009.4.29
126,en.3.331.466.2009.10.13
126,en.3.322.338.2009.8.7
126,en.2.279.472.2009.8.30
126,en.3.350.209.2010.2.18
126,en.2.260.180.2009.4.29
126,en.2.279.7.1970.1.1
126,en.3.366.412.2010.5.26
126,en.15.136.10.2009.7.26
126,en.15.220.33.2007.11.10
126,en.15.125.223.2009.5.20
126,en.2.268.455.2009.6.18
126,en.13.3.65.2009.6.12
126,en.15.139.91.2009.8.13
126,en.2.279.287.2009.8.31
126,en.2.279.62.2009.9.1
126,en.15.62.289.2008.4.18
126,en.15.151.83.2009.10.31
126,en.3.329.19.2009.9.22
126,en.3.322.30.2009.8.9
126,en.15.139.92.2009.8.10
126,en.13.30.447.2009.12.24
126,en.2.281.34.2009.9.11
126,en.2.278.93.2009.8.26
126,en.3.331.91.2009.10.11
126,en.3.326.26.2009.9.2
126,en.3.326.252.2009.9.2
126,en.13.1.53.2009.5.31
126,en.3.322.206.2009.8.7
126,en.2.317.224.2010.5.28
126,en.3.333.11.2009.10.24
126,en.2.298.293.2010.1.29
126,en.15.83.457.2008.9.5
126,en.15.73.177.2008.6.26
126,en.13.30.250.2009.12.20
126,en.3.326.205.2009.9.2
126,en.2.279.215.2009.8.31
126,en.2.260.460.2009.5.2
126,en.13.5.132.2009.6.24
126,en.15.151.62.2009.11.4
126,en.3.326.381.2009.9.2
126,en.15.147.222.2009.10.4
126,en.15.190.281.2007.6.13
126,en.15.124.268.2009.5.15
126,en.15.136.355.2009.7.24
126,en.3.326.347.2009.9.4
126,en.2.260.462.2009.4.29
126,en.15.156.49.2009.12.12
127,en.3.353.28.2010.3.10
127,en.3.348.163.2010.2.6
127,en.15.81.218.2008.8.22
127,en.15.167.10.2010.2.23
127,en.15.229.78.2007.12.19
127,en.15.167.44.2010.2.23
127,en.3.381.157.2007.7.24
127,en.15.248.377.2008.3.6
127,en.13.1.328.2009.6.2
127,en.3.381.44.2007.7.22
127,en.15.252.364.2008.3.23
127,en.15.251.370.2008.3.17
127,en.15.184.26.2010.6.2
127,en.3.348.486.2010.2.7
127,en.3.347.486.2010.2.4
127,en.3.347.165.2010.1.31
127,en.2.264.273.2009.5.28
127,en.15.98.499.2008.11.26
127,en.15.98.105.2008.11.27
127,en.15.90.391.2008.10.16
